object_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,best_filter_class,fallback_filter_class,optional_color_filter_class,imaging_reducer_recommended,descrizione
messier-M32,Andromeda Satellite #1,Dwarf elliptical galaxy,Andromeda,8.1,00h 42m 41.8s,+40° 51′ 55″,8.7′ × 6.5′,0.145,General,,,,0,M32 (NGC 221) - Dwarf elliptical galaxy in Andromeda.
messier-M33,Triangulum/Pinwheel Galaxy,Spiral galaxy,Triangulum,5.7,01h 33m 50.0s,+30° 39′ 36.7″,70.8′ × 41.7′,1.180,WideField,,,,1,M33 (NGC 598) - Spiral galaxy in Triangulum.
messier-M34,Spiral Cluster,Open cluster,Perseus,5.5,02h 42.1m,+42° 46′,35′,0.583,WideField,,,,1,M34 (NGC 1039) - Open cluster in Perseus.
messier-M35,Shoe-Buckle Cluster,Open cluster,Gemini,5.3,06h 09.1m,+24° 21′,28′,0.467,WideField,,,,1,M35 (NGC 2168) - Open cluster in Gemini.
messier-M36,Pinwheel Cluster,Open cluster,Auriga,6.3,05h 36m 12s,+34° 08′ 04″,12′,0.200,General,,,,0,M36 (NGC 1960) - Open cluster in Auriga.
messier-M37,Salt and Pepper Cluster,Open cluster,Auriga,6.2,05h 52m 18s,+32° 33′ 02″,24′,0.400,WideField,,,,1,M37 (NGC 2099) - Open cluster in Auriga.
messier-M38,Starfish Cluster,Open cluster,Auriga,7.4,05h 28m 42s,+35° 51′ 18″,21′,0.350,WideField,,,,1,M38 (NGC 1912) - Open cluster in Auriga.
messier-M39,Pyramid Cluster,Open cluster,Cygnus,4.6,21h 31m 42s,+48° 26′ 00″,29′,0.483,WideField,,,,1,M39 (NGC 7092) - Open cluster in Cygnus.
messier-M40,Winnecke 4,Optical Double,Ursa Major,8.4,12h 22m 12.5s,+58° 04′ 59″,51.7″,0.014,HighMagnification,,,,0,M40 - Optical Double in Ursa Major.
messier-M41,Little Beehive Cluster,Open cluster,Canis Major,4.5,06h 46.0m,-20° 46′,38′,0.633,WideField,,,,1,M41 (NGC 2287) - Open cluster in Canis Major.
messier-M42,Great Orion Nebula,H II region nebula,Orion,4.0,05h 35m 17.3s,-05° 23′ 28″,65′ × 60′,1.083,WideField,UHC,,,1,M42 (NGC 1976) - H II region nebula in Orion.
messier-M43,De Mairan's Nebula,H II region nebula (part of the Orion Nebula),Orion,9.0,05h 35.6m,-05° 16′,20′ × 15′,0.333,WideField,H_BETA,,,1,M43 (NGC 1982) - H II region nebula (part of the Orion Nebula) in Orion.
